;0.conversion_VLDL_into_IDL_TG_hydrolysis;1.LPL_activation;2.conversion_into_LDL;3.endocytosis_via_RME;4.FFA_absorption_in_enterocyte;5.binding_with_glycerol_albumins;6.acetylCoAs_convertion;7.mevalonate_synthesis;8.reaction_phosphorylation_catalysed_by_ATP;9.reaction_condensation;10.HMG_CoA_syntase_activation_in_cytoplasm;11.reaction_forming_farnesyl_PP;12.reaction_catalysed_by_squalene_synthase;13.reaction_catalysed_by_squalene_monooxygenase;14.reaxtion_catalysed_by_squalene_epoxydase;15.reactions_19_leading_to_cholesterol_synthesis_in_liver;16.AMP_activated_protein_kinase_AMPK_phosphorylation;17.LKB1_activation;18.processes_increasing_intracellular_calcium;19.dephosphorylation;20.HMG_CoA_reductase_inactivation_by_phosphorylation;21.increased_PKA_activation;22.high_PPI_OH_phosphorylation;23.hormonal_processes_increasing_cAMP;24.enzymes_activation;25.binding_LDL_and_LDLR;26.CE_hydrolysis;27.lysosomal_lypases_activation;28.free_cholesterol_effluxes_endosome;29.prcessess_catalyzed_by_ACAT;30.conversion_from_CE_found_in_HDL_into_free_cholesterol_pool;31.hydrolase_of_cholesterol_esters_activation;32.steroid_synthesis;33.HDL_secreted_by_enterocytes_and_by_the_liver;34.convertion_cholesterol_into_CE;35.cholesterol_CE_transport_to_the_liver;36.CETP_secretion_from_the_liver;37.LCAT_activation_in_serum;38.transport_mainly_TG_within_nascent_chylomicrons_from_the_intestinum_to_the_blood;39.nascent_CM_exchange_components_with_HDL;40.TG_distribution_from_CM;41.CM_endocytosis_in_the_liver;42.processess_decreasing_cAMP;43.LDLR_expression_on_cell_membrane;44.nascent_CM_synthesis_in_enterocytes;45.exchanging_HDL_components_in_blood;46.reaction_forming_nascent_VLDL_reach_in_TG_in_the_liver;47.APOB100_synthesis_in_the_liver_and_secreted_into_circulation;48.expression_remnant_CE_receptors_in_the_liver_when_intestinum_pool_is_high;49.transport_by_ABCA1;50.convertion_HDL_into_IDL;51.activation_by_LRP1;52.SRB1_expression;53.HDL_synthesis_in_the_Liver;54.LIPC_activation;55.formation_of_the_bilary_cholesterol;56.cholesterol_pool_increases_in_the_intestinum_because_of_bilary_cholesterol;57.reaction_catalysed_by_thiolase;58.re_estrification_of_cholesterol_by_ACAT_in_the_liver;59.APOC2_returned_to_HDL_cholesterol;60.forming_complex;61.MTTP_synthesis;62.carboxylation_cataysed_by_acetyl_CoA_carboxylase_ACC;63.dephosphorylation_of_ACC_and_its_activation;64.decarboxylation;65.protein_phosphatase_activation;66.dephosporylation_by_protein_phosphatase_2C;67.phosphorylation_by_PKA;68.HSL_activation;69.malonyl_CoA_decarboxylase_MCD_activation;70.bile_acids_synthesis;71.beta_oxidation;72.reabsorbtion_in_the_intestinum_and_return_to_the_liver;73.remaining_cholesterol_removed_by_fecal_sterols;74.ASBT_activation;75.TG_synthesis_in_the_liver;76.ACAT_activation_in_the_intestinum;77.pancreatic_synthesis;78.ACAT_activation_in_the_liver;79.reaction_catalysed_by_phosphoprotein_phosphatase;80.HMGCoA_reductase_phosphatase_activation;81.reaction_increasing_cholesterol_pool_in_the_liver_via_RME;82.thiolase_activation;83.cholesterol_transport_from_the_lumen_to_the_intestinum;84.NPC1L1_activtion;85.processes_lowering_cholesterol;86.LDLR_synthesis;87.reaction_catalysed_by_HMGCoA_reductase_phosphatase;88.HMGCoA_reductase_activation;89.phosphoprotein_phosphatase_activation;90.PPI_1_OH_activation;91.processes_increasing_PPI1_activity;92.acetyl_CoA_synthesis_from_glucose_in_the_liver;93.processess_lowering_free_cholesterol_pool_in_intestinum_and_in_the_peripheral_tissues;94.efflux_of_cholesterol_to_APOA1_and_APOE_catalysed_by_ABCA1;95.hydrolysation_of_stored_TG;96.FA_synthesis_in_the_liver;97.decreased_PKA_activation;98.increasing_activity_by_SREBP2;99.process_catalysed_by_DGAT;100.internalized_from_blood_by_the_liver;101.diet;102.LRP1_synthesis;103.CE_transfer_from_LDL;104.degradation;105.oxidation;106.binding_with_SRAII_II_R_on_macrophages;107.atheroslerosis;108.receptor_being_returned_stimalated_by_lower_pH;109.CE_transfer_from_HDL2;110.conversion_HDL2_into_HDL3;111.conversion_nascent_HDL_into_HDL3;112.efflux_of_free_cholesterol_from_peripheral_tissues;113.ABCA1_synthesis;114.conversion_HDL3_into_HDL2;115.conversion_HDL3_into_nascent_LDL;116.transport_into_peripheral_tissue;117.infflux_of_macrophages;118.FFA_pool_in_adipose_tissue_increases;119.TG_storage_in_adipocytes;120.processes_increasing_AMP_activated_protein_kinase_0H_AMPK_inactive;121.processes_decreasing_phosphoprotein_phosphatase;122.processes_decreasing_HMGCoA_reductase_phosphatase_activity
1106;1;0;1;0;2;1;4;4;4;2;4;2;1;1;1;1;0;0;0;0;0;3;0;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;0;1;1;1;0;0;0;0;0;3;0;0;8;0;0;1;2;0;0;0;0;0;3;3;0;1;12;0;0;0;1;2;4;0;0;0;0;8;2;2;2;1;0;0;0;0;0;8;6;0;3;0;0;5;1;12;17;0;0;1;0;1;1;0;0;0;0;0;0;0;1;1;0;3;3;0;0;0
1107;1;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;1;0;1;0;0;0;0;1;2;3;0;0;0;0;0;2;2;2;1;0;1;0;0;0;0;1;0;1;0;0;0;1;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
1108;1;4;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;3;1;1;1;1;0;1;1;4;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;1;0;1;0;0;0;0;1;2;0;0;0;0;0;0;2;2;2;1;0;1;0;0;0;0;1;0;1;0;0;0;1;0;3;5;0;0;3;3;0;0;0;0;3;3;3;0;0;0;3;1;1;0;0;0
1109;1;4;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;4;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;1;0;1;0;0;0;0;1;5;0;0;0;0;0;0;5;5;5;1;0;1;0;0;0;0;1;0;1;0;0;0;1;0;3;5;0;0;3;3;0;0;0;0;0;3;3;0;0;3;0;1;1;0;0;0
1110;1;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;1;0;1;0;0;0;0;1;2;3;0;0;0;0;0;2;2;2;1;0;0;0;0;0;0;2;0;1;0;0;1;1;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
1111;1;4;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;3;1;1;1;1;0;1;1;4;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;1;0;1;0;0;0;0;1;2;0;0;0;0;0;0;2;2;2;1;0;0;0;0;0;0;2;0;1;0;0;1;1;0;3;5;0;0;3;3;0;0;0;0;3;3;3;0;0;0;3;1;1;0;0;0
1112;1;4;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;4;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;1;0;1;0;0;0;0;1;5;0;0;0;0;0;0;5;5;5;1;0;0;0;0;0;0;2;0;1;0;0;1;1;0;3;5;0;0;3;3;0;0;0;0;0;3;3;0;0;3;0;1;1;0;0;0
1113;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;1;1;1;1;0;1;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;2;0;0;1;1;1;0;0;0;1;2;0;0;1;1;0;0;0;0;0;1;1;0;0;1;0;1;1;1;0;0
1114;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;2;0;0;1;1;0;0;0;0;0;1;1;0;0;1;0;1;1;0;0;0
1115;1;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0;2;1;0;1;1;2;0;0;0;1;0;3;0;0;0;0;0;1;2;0;0;0;0;0;3;3;0;1;0;0;0;0;1;2;4;0;0;0;1;0;3;3;3;1;0;1;0;0;0;0;2;0;3;0;0;0;1;0;5;0;0;1;0;1;1;0;0;0;0;0;0;0;1;1;0;3;3;0;0;0
1116;1;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0;2;1;0;1;1;2;0;0;0;1;0;3;0;0;0;0;0;1;2;0;0;0;0;0;3;3;0;1;0;0;0;0;1;2;4;0;0;0;1;0;3;3;3;1;0;0;0;0;0;0;3;0;3;0;0;1;1;0;5;0;0;1;0;1;1;0;0;0;0;0;0;0;1;1;0;3;3;0;0;0
1117;1;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;0;1;1;1;0;0;0;0;0;3;0;0;0;0;0;1;2;0;0;0;0;0;3;3;0;1;0;1;0;1;1;2;4;0;0;0;0;0;3;3;3;1;0;1;0;0;0;0;1;0;3;0;0;0;1;0;5;0;0;1;0;1;1;0;0;0;0;0;0;0;1;1;0;3;3;0;0;0
1118;1;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;0;1;1;1;0;0;0;0;0;3;0;0;0;0;0;1;2;0;0;0;0;0;3;3;0;1;0;1;0;1;1;2;4;0;0;0;0;0;3;3;3;1;0;0;0;0;0;0;2;0;3;0;0;1;1;0;5;0;0;1;0;1;1;0;0;0;0;0;0;0;1;1;0;3;3;0;0;0
1119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
1120;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;1;1;0;2;2;0;0;0;0;0;2;2;0;0;2;0;2;2;0;0;0
1121;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;1;1;1;1;2;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;1;1;1;1;0;1;0;2;2;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;2;1;0;2;1;1;0;0;0;2;1;0;0;2;2;0;0;0;0;0;2;2;1;0;2;0;2;2;1;0;0
1122;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;1;1;1;1;0;1;0;2;2;0;0;0;0;0;0;1;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;2;1;1;0;0;0;2;1;0;0;2;2;0;1;0;0;0;2;2;1;0;2;0;2;2;1;0;0
1123;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;4;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;1;0;2;0;0;0;0;0;1;1;1;1;0;1;0;3;3;0;0;0;0;0;0;1;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;3;1;1;0;0;0;3;1;0;1;1;2;0;0;0;0;0;2;2;1;0;2;0;3;3;1;0;0
1124;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;2;1;1;0;1;0;1;1;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;3;3;3;0;0;0;0;0;0;2;0;0;1;1;1;0;0;0;1;2;0;0;1;1;0;0;0;0;0;1;2;1;0;1;0;1;1;1;0;0
1125;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;1;1;0;0;1;1;0;0;0;1;1;1;1;0;1;0;1;1;0;1;0;0;0;0;1;2;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;2;0;0;1;1;1;0;0;0;1;2;0;0;1;1;0;0;0;0;0;1;1;1;0;1;0;1;1;1;0;0
1126;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;1;1;1;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;2;2;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;1;3;1;0;0;2;2;0;0;0;0;0;2;2;1;0;2;0;2;2;0;0;0
1127;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;2;2;0;0;0;0;0;0;1;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;3;1;0;0;2;2;0;1;0;0;0;2;2;1;0;2;0;2;2;0;0;0
1128;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;2;0;0;0;0;0;1;1;0;0;0;0;0;3;3;0;0;0;0;0;0;1;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;4;1;0;1;1;2;0;0;0;0;0;2;2;1;0;2;0;3;3;0;0;0
1129;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;2;1;1;0;1;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;3;3;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;2;0;0;1;1;0;0;0;0;0;1;2;1;0;1;0;1;1;0;0;0
1130;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0;0;0;1;2;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;2;0;0;1;1;0;0;0;0;0;1;1;1;0;1;0;1;1;0;0;0
1131;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;1;1;1;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;2;1;0;0;2;2;0;0;1;0;0;2;2;1;0;2;0;2;2;0;0;0
1132;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;1;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;1;0;0;2;2;0;1;1;0;0;2;2;1;0;2;0;2;2;0;0;0
1133;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;1;0;1;1;2;0;0;1;0;0;2;2;1;0;2;0;3;3;0;0;0
1134;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;3;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;1;1;0;0;1;0;0;1;2;1;0;1;0;1;1;0;0;0
1135;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;1;1;0;0;1;0;0;1;1;1;0;1;0;1;1;0;0;0
1136;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;1;1;0;1;1;0;0;1;1;1;0;1;0;2;2;0;0;0
1137;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;1;0;1;0;0;1;0;0;1;1;1;0;1;0;3;3;0;0;0
1138;2;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;1;1;1;1;1;0;0;0;0;0;0;1;0;1;1;1;1;0;2;1;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0;3;3;0;1;0;0;0;0;1;2;5;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;2;0;3;0;0;0;1;0;5;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;3;3;0;0;0
1139;2;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;1;1;1;1;1;0;0;0;0;0;0;1;0;1;1;1;1;0;2;1;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0;3;3;0;1;0;0;0;0;1;2;5;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;3;0;3;0;0;1;1;0;5;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;3;3;0;0;0
1140;2;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;1;1;1;0;1;1;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0;3;3;0;1;0;0;0;0;1;2;5;0;0;0;0;0;2;2;2;1;0;0;0;0;0;0;2;0;3;0;0;1;1;0;5;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;3;3;0;0;0
1141;2;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;1;1;1;0;1;1;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0;3;3;0;1;0;0;0;0;1;2;5;0;0;0;0;0;2;2;2;1;0;1;0;0;0;0;1;0;3;0;0;0;1;0;5;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;3;3;0;0;0
1142;2;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;1;1;1;0;1;1;0;1;1;1;0;0;1;0;0;3;0;0;0;0;0;1;2;0;0;0;0;0;4;4;0;1;0;0;0;0;1;3;5;0;0;0;0;0;3;3;3;1;0;0;0;0;0;0;2;0;4;0;0;1;1;0;6;1;0;1;0;1;1;0;1;0;0;0;0;1;1;1;0;4;4;0;0;0
1143;2;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;1;1;1;0;1;1;0;1;1;1;0;0;1;0;0;3;0;0;0;0;0;1;2;0;0;0;0;0;4;4;0;1;0;0;0;0;1;3;5;0;0;0;0;0;3;3;3;1;0;1;0;0;0;0;1;0;4;0;0;0;1;0;6;1;0;1;0;1;1;0;1;0;0;0;0;1;1;1;0;4;4;0;0;0
1144;2;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;1;1;0;1;1;0;1;1;1;0;0;1;0;0;2;0;0;0;0;0;1;2;0;0;0;0;0;4;4;0;1;0;0;0;0;1;2;5;0;0;0;0;0;2;2;2;1;0;0;0;0;0;0;2;0;4;0;0;1;1;0;6;1;0;1;0;1;1;0;1;0;0;0;0;1;0;0;1;4;4;0;0;0
1145;2;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;1;1;0;1;1;0;1;1;1;0;0;1;0;0;2;0;0;0;0;0;1;2;0;0;0;0;0;4;4;0;1;0;0;0;0;1;2;5;0;0;0;0;0;2;2;2;1;0;1;0;0;0;0;1;0;4;0;0;0;1;0;6;1;0;1;0;1;1;0;1;0;0;0;0;1;0;0;1;4;4;0;0;0
1146;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;2;2;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;3;0;0;0;1;1;0;1;0;0;0;1;1;1;0;1;0;2;2;0;0;0
1147;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;2;0;0;0;0;0;1;1;0;0;0;0;0;3;3;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;4;0;0;1;0;1;0;0;0;0;0;1;1;1;0;1;0;3;3;0;0;0
1148;2;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;1;1;1;1;1;0;0;0;0;0;1;0;0;1;1;1;1;0;2;1;0;2;2;1;0;0;1;1;0;1;0;0;0;0;0;2;3;0;0;0;0;0;3;3;0;1;0;0;0;0;2;2;5;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;2;0;3;0;0;0;1;1;6;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;3;0;0;0
1149;2;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;1;1;1;1;1;0;0;0;0;0;1;0;0;1;1;1;1;0;2;1;0;2;2;1;0;0;1;1;0;1;0;0;0;0;0;2;3;0;0;0;0;0;3;3;0;1;0;0;0;0;2;2;5;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;3;0;3;0;0;1;1;1;6;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;3;0;0;0
1150;2;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1;1;1;0;1;1;0;2;2;1;0;0;1;1;0;1;0;0;0;0;0;2;3;0;0;0;0;0;3;3;0;1;0;0;0;0;2;2;5;0;0;0;0;0;2;2;2;1;0;0;0;0;0;0;2;0;3;0;0;1;1;1;6;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;3;3;0;0;0
1151;2;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1;1;1;0;1;1;0;2;2;1;0;0;1;1;0;1;0;0;0;0;0;2;3;0;0;0;0;0;3;3;0;1;0;0;0;0;2;2;5;0;0;0;0;0;2;2;2;1;0;1;0;0;0;0;1;0;3;0;0;0;1;1;6;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;3;3;0;0;0
